product_name,description,price,quantity,tag,image
Fernanda Bell Sleeve Dress- Black,"A sample description, hope you know lorem ipsum, have you heard about it?","6,800",40,4,woman.jpg
Floral Off Shoulder Midi Dress- Multi,"A sample description, hope you know lorem ipsum, have you heard about it?","7,000",40,5,woman1.jpg
Lisa Cape Dress - Wine,"A sample description, hope you know lorem ipsum, have you heard about it?","8,000",40,6,woman2.jpg
Hayley Midi Dress- Navy,"A sample description, hope you know lorem ipsum, have you heard about it?","4,500",40,7,woman3.jpg
Nena Peplum Dress - Black,"A sample description, hope you know lorem ipsum, have you heard about it?","6,900",40,8,woman4.jpg
Lisa Cape Dress - Black,"A sample description, hope you know lorem ipsum, have you heard about it?","2,900",40,9,woman5.jpg
Tumi midi dress- black/white,"A sample description, hope you know lorem ipsum, have you heard about it?","5,667",40,9,woman6.jpg
Bose midi dress-Wine,"A sample description, hope you know lorem ipsum, have you heard about it?","7,890",40,4,woman7.jpg
Paloma Maxi Wrap Dress - Multi,"A sample description, hope you know lorem ipsum, have you heard about it?","7,650",40,5,woman8.jpg
Zena Wrap Maxi - Multi,"A sample description, hope you know lorem ipsum, have you heard about it?","7,500",40,6,woman9.jpg
Adriana Cold Shoulder Dress - Multicolour,"A sample description, hope you know lorem ipsum, have you heard about it?","6,500",40,7,woman10.jpg
Olivia pocket Dress- Purple,"A sample description, hope you know lorem ipsum, have you heard about it?","5,500",40,8,woman11.jpg
Ameera Off Shoulder Frill Dress- Teal green,"A sample description, hope you know lorem ipsum, have you heard about it?","6,999",40,9,woman12.jpg
Floral Illusion Dress- Multi,"A sample description, hope you know lorem ipsum, have you heard about it?","6,500",40,4,woman13.jpg
Merisa Wrap Maxi - Multicolour,"A sample description, hope you know lorem ipsum, have you heard about it?","7,999",40,5,woman14.jpg
Nena Peplum Top- Black,"A sample description, hope you know lorem ipsum, have you heard about it?","8,999",40,6,woman15.jpg
Lisa Cape Dress - White,"A sample description, hope you know lorem ipsum, have you heard about it?","6,500",40,7,woman16.jpg
Hayley Midi Dress - Black,"A sample description, hope you know lorem ipsum, have you heard about it?","6,500",40,8,woman17.jpg
Bose midi dress-Black,"A sample description, hope you know lorem ipsum, have you heard about it?","6,500",40,9,woman18.jpg
Kendra Bell Sleeve Dress- Royal blue,"A sample description, hope you know lorem ipsum, have you heard about it?","7,500",40,4,woman1.jpg
Hannah Cold Shoulder Dress- Black,"A sample description, hope you know lorem ipsum, have you heard about it?","6,500",40,5,woman.jpg
Simi V-neck Cold Shoulder Dress- Navy Blue,"A sample description, hope you know lorem ipsum, have you heard about it?","5,500",40,6,woman2.jpg
Tessy Bardot Cold Shoulder Top- Multi,"A sample description, hope you know lorem ipsum, have you heard about it?","6,999",40,7,woman4.jpg
